,Porcentaje_Sustituciones,porc_Rechazos,porc_NE,porc_Aptos,Casillas_x_CAE_escaladas,A1,B1,C1,Rural1,Urbana1,porc_m_mesas,porc_sin_e_mesas,porc_prim_mesas,porc_sec_mesas,porc_bach_mesas,porc_lic_mesas,edad_min_escalada_X_edo,edad_max_escalada_X_edo,edad_promedio_escalada_X_edo,edad_rango_escalada_X_edo,ciudadanos_antemesas_escalada_X_edo,edad_min_escalada_Nacional,edad_max_escalada_Nacional,edad_promedio_escalada_Nacional,edad_rango_escalada_Nacional,ciudadanos_antemesas_escalada_Nacional,Ausentismo2,Llave.Casilla,NOMBRE_ESTADO.x,iD_ESTADO.x,ID_DISTRITO.x,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA
92,0.333333333,0.176570458,0.35483871,0.188455008,0.714285714,0,1,0,0,1,1,0,0.111111111,0.222222222,0.444444444,0.222222222,0.42,0.666666667,0.586206897,0.534482759,1,0.381818182,0.666666667,0.53125,0.534482759,1,0,9-DISTRITO FEDERAL-1-852-C3,DISTRITO FEDERAL,9,1,852,3,C,0
93,0.111111111,0.176570458,0.35483871,0.188455008,0.714285714,1,0,0,0,1,0.333333333,0,0.222222222,0.333333333,0.333333333,0.111111111,0.38,0.666666667,0.655172414,0.568965517,1,0.345454545,0.666666667,0.59375,0.568965517,1,1,9-DISTRITO FEDERAL-1-852-C4,DISTRITO FEDERAL,9,1,852,4,C,0
96,0.666666667,0.246753247,0.584415584,0.227272727,0.857142857,0,1,0,0,1,0.666666667,0,0,0.333333333,0.444444444,0.111111111,0.4,0.705128205,0.637931034,0.603448276,1,0.363636364,0.705128205,0.578125,0.603448276,1,0,9-DISTRITO FEDERAL-1-853-B,DISTRITO FEDERAL,9,1,853,1,B,0
98,0.888888889,0.305825243,0.514563107,0.237864078,0.714285714,1,0,0,0,1,0.444444444,0,0.111111111,0.333333333,0.222222222,0.333333333,0.38,0.756410256,0.620689655,0.689655172,1,0.345454545,0.756410256,0.5625,0.689655172,1,0,9-DISTRITO FEDERAL-1-854-B,DISTRITO FEDERAL,9,1,854,1,B,0
106,0,0.204188482,0.471204188,0.19895288,0.714285714,1,0,0,0,1,0.555555556,0,0.111111111,0.222222222,0.333333333,0.333333333,0.38,0.730769231,0.5,0.655172414,1,0.345454545,0.730769231,0.453125,0.655172414,1,0,9-DISTRITO FEDERAL-1-857-B,DISTRITO FEDERAL,9,1,857,1,B,0
115,0.777777778,0.215328467,0.518248175,0.186131387,0.857142857,0,0,1,0,1,0.666666667,0,0,0.222222222,0.555555556,0.222222222,0.38,0.602564103,0.551724138,0.482758621,1,0.345454545,0.602564103,0.5,0.482758621,1,0,9-DISTRITO FEDERAL-1-860-C1,DISTRITO FEDERAL,9,1,860,1,C,0
119,0.666666667,0.217948718,0.717948718,0.192307692,0.714285714,0,0,1,0,1,0.555555556,0,0.444444444,0.333333333,0,0.222222222,0.38,0.871794872,0.793103448,0.844827586,1,0.345454545,0.871794872,0.71875,0.844827586,1,0,9-DISTRITO FEDERAL-1-862-B,DISTRITO FEDERAL,9,1,862,1,B,0
120,0.555555556,0.286585366,0.506097561,0.182926829,0.857142857,0,0,1,0,1,0.444444444,0.111111111,0.333333333,0.222222222,0.222222222,0,0.42,0.807692308,0.706896552,0.724137931,1,0.381818182,0.807692308,0.640625,0.724137931,1,0,9-DISTRITO FEDERAL-1-863-B,DISTRITO FEDERAL,9,1,863,1,B,0
121,1.111111111,0.286585366,0.506097561,0.182926829,0.857142857,0,0,1,0,1,0.666666667,0.111111111,0.333333333,0.333333333,0.222222222,0,0.4,0.897435897,0.844827586,0.862068966,1,0.363636364,0.897435897,0.765625,0.862068966,1,0,9-DISTRITO FEDERAL-1-863-C1,DISTRITO FEDERAL,9,1,863,1,C,0
125,0.444444444,0.24684432,0.53997195,0.182328191,0.857142857,0,0,1,0,1,0.777777778,0,0.333333333,0.111111111,0.333333333,0.222222222,0.38,0.871794872,0.551724138,0.844827586,1,0.345454545,0.871794872,0.5,0.844827586,1,1,9-DISTRITO FEDERAL-1-865-C1,DISTRITO FEDERAL,9,1,865,1,C,0
128,0.111111111,0.24684432,0.53997195,0.182328191,0.857142857,0,1,0,0,1,0.666666667,0,0.333333333,0.333333333,0.111111111,0.222222222,0.44,0.794871795,0.672413793,0.689655172,1,0.4,0.794871795,0.609375,0.689655172,1,0,9-DISTRITO FEDERAL-1-865-C4,DISTRITO FEDERAL,9,1,865,4,C,0
129,0.222222222,0.24684432,0.53997195,0.182328191,0.857142857,0,1,0,0,1,0.444444444,0,0.222222222,0.333333333,0.333333333,0.111111111,0.42,0.769230769,0.603448276,0.672413793,1,0.381818182,0.769230769,0.546875,0.672413793,1,1,9-DISTRITO FEDERAL-1-865-C5,DISTRITO FEDERAL,9,1,865,5,C,0
130,0.444444444,0.24684432,0.53997195,0.182328191,0.857142857,0,0,1,0,1,0.444444444,0,0.333333333,0,0.555555556,0.111111111,0.38,0.717948718,0.637931034,0.637931034,1,0.345454545,0.717948718,0.578125,0.637931034,1,0,9-DISTRITO FEDERAL-1-865-C6,DISTRITO FEDERAL,9,1,865,6,C,0
133,0.555555556,0.207865169,0.460674157,0.179775281,0.857142857,0,1,0,0,1,0.444444444,0,0.111111111,0.444444444,0.222222222,0.222222222,0.42,0.705128205,0.517241379,0.586206897,1,0.381818182,0.705128205,0.46875,0.586206897,1,1,9-DISTRITO FEDERAL-1-866-C1,DISTRITO FEDERAL,9,1,866,1,C,0
136,1.222222222,0.246753247,0.655844156,0.331168831,0.714285714,0,1,0,0,1,0.444444444,0,0.111111111,0.222222222,0.444444444,0.222222222,0.38,0.551282051,0.5,0.413793103,1,0.345454545,0.551282051,0.453125,0.413793103,1,1,9-DISTRITO FEDERAL-1-868-B,DISTRITO FEDERAL,9,1,868,1,B,0
137,0.555555556,0.246753247,0.655844156,0.331168831,0.714285714,0,0,1,0,1,0.444444444,0,0,0.555555556,0.333333333,0.111111111,0.46,0.782051282,0.637931034,0.655172414,1,0.418181818,0.782051282,0.578125,0.655172414,1,0,9-DISTRITO FEDERAL-1-868-C1,DISTRITO FEDERAL,9,1,868,1,C,0
139,0.333333333,0.12,0.68,0.3,0.714285714,0,1,0,0,1,0.444444444,0,0.222222222,0.111111111,0.222222222,0.444444444,0.46,0.833333333,0.655172414,0.724137931,1,0.418181818,0.833333333,0.59375,0.724137931,1,0,9-DISTRITO FEDERAL-1-870-B,DISTRITO FEDERAL,9,1,870,1,B,0
140,0.222222222,0.12,0.68,0.3,0.714285714,0,1,0,0,1,0.555555556,0,0.222222222,0.222222222,0.333333333,0.222222222,0.36,0.705128205,0.534482759,0.637931034,1,0.327272727,0.705128205,0.484375,0.637931034,1,0,9-DISTRITO FEDERAL-1-870-C1,DISTRITO FEDERAL,9,1,870,1,C,0
142,0.111111111,0.08411215,0.58411215,0.271028037,0.714285714,0,0,1,0,1,0.666666667,0,0.111111111,0.444444444,0.333333333,0.111111111,0.5,0.794871795,0.655172414,0.637931034,1,0.454545455,0.794871795,0.59375,0.637931034,1,1,9-DISTRITO FEDERAL-1-871-C1,DISTRITO FEDERAL,9,1,871,1,C,0
144,0.333333333,0.136904762,0.517857143,0.214285714,0.857142857,0,0,1,0,1,0.555555556,0,0,0.333333333,0.222222222,0.444444444,0.4,0.666666667,0.620689655,0.551724138,1,0.363636364,0.666666667,0.5625,0.551724138,1,0,9-DISTRITO FEDERAL-1-872-B,DISTRITO FEDERAL,9,1,872,1,B,0
148,0,0.222891566,0.5,0.204819277,0.714285714,0,1,0,0,1,0.666666667,0,0.111111111,0.333333333,0.333333333,0.222222222,0.44,0.820512821,0.706896552,0.724137931,1,0.4,0.820512821,0.640625,0.724137931,1,1,9-DISTRITO FEDERAL-1-874-B,DISTRITO FEDERAL,9,1,874,1,B,0
149,0.777777778,0.222891566,0.5,0.204819277,0.714285714,0,0,1,0,1,0.444444444,0,0.222222222,0.111111111,0.555555556,0.111111111,0.36,0.846153846,0.655172414,0.827586207,1,0.327272727,0.846153846,0.59375,0.827586207,1,0,9-DISTRITO FEDERAL-1-874-C1,DISTRITO FEDERAL,9,1,874,1,C,0
152,1,0.221276596,0.54893617,0.208510638,0.857142857,0,0,1,0,1,0.777777778,0,0.111111111,0.333333333,0.444444444,0.111111111,0.4,0.717948718,0.620689655,0.620689655,1,0.363636364,0.717948718,0.5625,0.620689655,1,1,9-DISTRITO FEDERAL-1-875-C2,DISTRITO FEDERAL,9,1,875,2,C,0
157,0.444444444,0.304878049,0.615853659,0.24695122,0.571428571,0,1,0,0,1,0.777777778,0,0.333333333,0.333333333,0.222222222,0.111111111,0.38,0.794871795,0.603448276,0.74137931,1,0.345454545,0.794871795,0.546875,0.74137931,1,1,9-DISTRITO FEDERAL-1-877-B,DISTRITO FEDERAL,9,1,877,1,B,0
159,0.444444444,0.304878049,0.615853659,0.24695122,0.571428571,0,1,0,0,1,0.555555556,0,0.222222222,0.333333333,0.444444444,0,0.42,0.679487179,0.603448276,0.551724138,1,0.381818182,0.679487179,0.546875,0.551724138,1,0,9-DISTRITO FEDERAL-1-877-C2,DISTRITO FEDERAL,9,1,877,2,C,0
161,0.777777778,0.168627451,0.51372549,0.247058824,0.714285714,0,0,1,0,1,0.444444444,0,0.111111111,0.333333333,0.444444444,0.111111111,0.38,0.833333333,0.534482759,0.793103448,1,0.345454545,0.833333333,0.484375,0.793103448,1,1,9-DISTRITO FEDERAL-1-878-B,DISTRITO FEDERAL,9,1,878,1,B,0
163,0.888888889,0.177777778,0.522222222,0.177777778,0.714285714,0,0,1,0,1,0.666666667,0.111111111,0.222222222,0.333333333,0.222222222,0.111111111,0.44,0.666666667,0.672413793,0.517241379,1,0.4,0.666666667,0.609375,0.517241379,1,0,9-DISTRITO FEDERAL-1-879-C1,DISTRITO FEDERAL,9,1,879,1,C,0
164,0.222222222,0.298850575,0.517241379,0.229885057,0.714285714,0,1,0,0,1,0.777777778,0,0,0.222222222,0.222222222,0.555555556,0.38,0.474358974,0.413793103,0.310344828,1,0.345454545,0.474358974,0.375,0.310344828,1,1,9-DISTRITO FEDERAL-1-880-B,DISTRITO FEDERAL,9,1,880,1,B,0
166,0.333333333,0.236947791,0.550200803,0.21686747,0.714285714,0,0,1,0,1,0.444444444,0,0.111111111,0.111111111,0.333333333,0.333333333,0.4,0.602564103,0.5,0.465517241,1,0.363636364,0.602564103,0.453125,0.465517241,1,1,9-DISTRITO FEDERAL-1-881-B,DISTRITO FEDERAL,9,1,881,1,B,0
168,0.333333333,0.236947791,0.550200803,0.21686747,0.714285714,0,0,1,0,1,0.666666667,0,0.222222222,0.111111111,0.444444444,0.222222222,0.36,0.897435897,0.672413793,0.896551724,1,0.327272727,0.897435897,0.609375,0.896551724,1,0,9-DISTRITO FEDERAL-1-881-C2,DISTRITO FEDERAL,9,1,881,2,C,0
169,0.555555556,0.256281407,0.572864322,0.341708543,0.714285714,0,1,0,0,1,0.555555556,0,0.111111111,0.333333333,0.333333333,0.111111111,0.38,0.782051282,0.586206897,0.724137931,1,0.345454545,0.782051282,0.53125,0.724137931,1,0,9-DISTRITO FEDERAL-1-882-B,DISTRITO FEDERAL,9,1,882,1,B,0
170,0.444444444,0.256281407,0.572864322,0.341708543,0.714285714,0,0,1,0,1,0.333333333,0,0.222222222,0.333333333,0.111111111,0.333333333,0.36,0.820512821,0.603448276,0.793103448,1,0.327272727,0.820512821,0.546875,0.793103448,1,0,9-DISTRITO FEDERAL-1-882-C1,DISTRITO FEDERAL,9,1,882,1,C,0
171,1.111111111,0.256281407,0.572864322,0.341708543,0.714285714,0,0,1,0,1,0.555555556,0,0.111111111,0.222222222,0.555555556,0.111111111,0.42,0.679487179,0.603448276,0.551724138,1,0.381818182,0.679487179,0.546875,0.551724138,1,0,9-DISTRITO FEDERAL-1-882-C2,DISTRITO FEDERAL,9,1,882,2,C,0
172,0.555555556,0.176744186,0.525581395,0.237209302,0.714285714,0,1,0,0,1,0.333333333,0,0.111111111,0.333333333,0.555555556,0,0.4,0.820512821,0.655172414,0.75862069,1,0.363636364,0.820512821,0.59375,0.75862069,1,0,9-DISTRITO FEDERAL-1-883-B,DISTRITO FEDERAL,9,1,883,1,B,0
174,1.222222222,0.176744186,0.525581395,0.237209302,0.714285714,0,0,1,0,1,0.555555556,0,0.111111111,0.333333333,0.222222222,0.333333333,0.42,0.884615385,0.620689655,0.827586207,1,0.381818182,0.884615385,0.5625,0.827586207,1,1,9-DISTRITO FEDERAL-1-883-C2,DISTRITO FEDERAL,9,1,883,2,C,0
178,0,0.242236025,0.652173913,0.267080745,0.857142857,0,1,0,0,1,0.777777778,0,0.333333333,0.333333333,0.222222222,0.111111111,0.46,0.846153846,0.844827586,0.74137931,1,0.418181818,0.846153846,0.765625,0.74137931,1,0,9-DISTRITO FEDERAL-1-885-C1,DISTRITO FEDERAL,9,1,885,1,C,0
