,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,ENTIDAD
20,-0.047237698,-0.926697854,-1.372610597,2.67641901,-0.100190445,-0.229422322,-0.065954119,0.032833648,-0.657177227,-0.029129601,-0.546420767,0.149567299,2.58501287,2.124337931,1.083407887,-0.014183225,-0.046603685,-0.077387613,-1.788853426,1.857333683,0.539751415,2.14089051,-2.270464317,-0.991984504,-0.030379182,-0.017089128,DISTRITO FEDERAL
21,0.034629843,-0.132650191,-1.0199496,1.299337381,0.143310396,-0.031449073,0.013615696,0.087846063,-3.121220192,0.033487994,-0.200237725,0.912406112,2.821868259,1.963563596,1.825204931,0.026513196,0.693200116,0.059566687,-4.32012254,0.579376155,-0.504298902,1.390803988,0.081340654,1.36062033,-0.032233525,-0.108536428,DISTRITO FEDERAL
22,0.007147613,-0.752334409,-0.941482131,1.574674448,0.014866922,-0.332381997,-0.241100926,-0.079963225,-0.034608271,-0.006890284,0.050913967,-0.256417946,2.303427007,2.13049054,1.457641533,0.00858204,1.578062874,0.002603659,-1.181451366,0.00764224,0.006755914,0.028390743,0.001694178,-1.894039048,0.030824454,-0.041559706,DISTRITO FEDERAL
23,-0.034666502,-0.047156208,-0.723862234,1.41470902,0.112773045,-0.11613009,0.045440594,0.184720984,0.078521439,0.14304787,-0.083909413,1.609287315,3.586926679,3.062351336,2.554678183,1.334890388,-0.04600488,0.969416443,-2.653817085,0.018899437,-1.956254724,-0.098462415,-0.05655859,0.110708275,-0.897413433,-0.052133101,DISTRITO FEDERAL
24,-0.00209927,-0.013609497,-1.1600492,2.009246618,-0.033123041,0.055627611,-0.106917421,-0.02365108,-1.776517274,-0.018033623,-0.089659636,-0.027150605,2.681331873,2.305474335,2.098705034,0.707139763,2.402114074,-0.611764764,-1.033342745,1.215470992,-0.068273317,0.060907451,-1.090620437,-1.68450776,0.016781688,-0.044947297,DISTRITO FEDERAL
25,-0.038250191,-0.452983092,-0.831236282,2.496020516,0.104883091,-0.041514088,-0.031710812,0.092606837,-1.864369339,0.02594545,-0.071355162,0.358487177,2.841006126,2.605793978,1.805302602,0.969544569,-0.01604236,-0.007401763,-2.814573865,0.087520237,-0.006404917,0.980879633,0.456740055,0.066617228,-0.01331729,0.263339314,DISTRITO FEDERAL
26,0.0565205,-0.099044429,-0.678412862,2.207446433,0.132605431,-0.037650534,-0.003479502,0.194397497,-0.036339816,0.007807239,-0.030506181,0.219871487,3.932526092,3.200154812,2.720440657,1.567742358,1.764026563,0.173515335,-0.834362908,-0.15115008,0.89864835,-0.935854044,0.095236347,-1.987434559,-0.043948498,0.207004525,DISTRITO FEDERAL
27,-0.041462702,0.070577099,-0.678843864,1.87083928,0.080215644,-0.020979396,0.098119088,0.177835415,-1.559800569,-0.149854621,-0.355148185,0.104955684,2.935963127,2.676459493,2.004956774,0.852298721,-0.051858172,-0.033522869,-0.095438913,0.034638797,0.022693241,0.339105986,-0.037945024,-2.714586079,0.147350633,-0.041133202,DISTRITO FEDERAL
28,0.000483329,-0.128013638,-1.183635604,1.456945847,0.010876181,-0.143478175,-0.045785609,0.057908214,-1.156819384,-0.471785223,-0.141203816,0.012476024,2.852812502,2.279247392,2.061138481,0.367084484,-0.070244168,1.850911234,-3.045175409,-1.130908184,0.622347768,0.007488127,0.099202971,0.009345251,-0.042874137,-0.947977202,DISTRITO FEDERAL
29,0.0578921,-0.737782467,-0.805837863,1.333642283,-0.343168637,-0.027458811,0.09532917,0.267965677,0.164604294,0.076307227,0.008059111,0.005599457,2.676277127,2.583695265,1.830575257,0.66284467,0.330913157,0.032288501,-0.107189069,-1.585417948,0.373695897,0.579987025,0.005713327,-2.971136236,1.501943671,1.576592783,DISTRITO FEDERAL
30,-0.017763654,-0.19355421,-1.093884481,2.818719526,0.081655591,-0.381428969,-0.096934639,0.039731781,-0.067772505,0.009667818,0.022284225,1.220084347,3.211696285,2.962353767,2.301538404,1.045560945,-0.015723336,0.03687461,-3.369931103,-0.932764237,-0.428468165,2.237882164,0.017628242,-0.047920644,1.379626748,-0.31581377,DISTRITO FEDERAL
31,-0.086397336,-0.173072639,-0.937899194,1.816448833,0.027051996,0.023001292,-0.016195547,0.058000391,-2.0764808,-0.147683876,-0.001013724,0.057809684,3.198832883,2.959158669,2.380235938,1.184145206,2.959411052,0.056433549,-4.268785518,2.820594246,0.0405734,-0.038157363,0.063686425,0.598728834,-2.390011232,0.009237656,DISTRITO FEDERAL
